,month,utopia,dystopia
0,2014-05-01,4,13
1,2014-06-01,4,9
2,2014-07-01,2,3
3,2014-08-01,5,9
4,2014-09-01,9,24
5,2014-10-01,1,17
6,2014-11-01,4,4
7,2014-12-01,5,11
8,2015-01-01,6,13
9,2015-02-01,11,11
10,2015-03-01,2,29
11,2015-04-01,3,7
12,2015-05-01,2,12
13,2015-06-01,3,11
14,2015-07-01,3,12
15,2015-08-01,9,7
16,2015-09-01,1,9
17,2015-10-01,3,7
18,2015-11-01,4,11
19,2015-12-01,3,6
20,2016-01-01,1,6
21,2016-02-01,1,15
22,2016-03-01,2,10
23,2016-04-01,4,11
24,2016-05-01,0,20
25,2016-06-01,4,12
26,2016-07-01,8,11
27,2016-08-01,12,13
28,2016-09-01,4,12
29,2016-10-01,1,12
30,2016-11-01,1,13
31,2016-12-01,5,10
32,2017-01-01,3,17
33,2017-02-01,6,20
34,2017-03-01,6,19
35,2017-04-01,10,11
36,2017-05-01,2,10
37,2017-06-01,5,8
38,2017-07-01,9,22
39,2017-08-01,5,14
40,2017-09-01,11,13
41,2017-10-01,4,10
42,2017-11-01,6,21
43,2017-12-01,9,17
44,2018-01-01,8,26
45,2018-02-01,6,12
46,2018-03-01,11,17
47,2018-04-01,8,20
48,2018-05-01,17,25
49,2018-06-01,16,25
50,2018-07-01,12,21
51,2018-08-01,15,29
52,2018-09-01,5,15
53,2018-10-01,5,16
54,2018-11-01,14,21
55,2018-12-01,8,22
56,2019-01-01,12,17
57,2019-02-01,16,20
58,2019-03-01,16,25
59,2019-04-01,20,38
60,2019-05-01,12,41
61,2019-06-01,33,50
62,2019-07-01,18,37
63,2019-08-01,18,45
64,2019-09-01,24,40
